date,ticker,type,direction,detail,price,entry_price,result_5,result_10,current_pct,max_drawdown_pct,days_to_5,days_to_10
2026-01-27,NVDA,macd,buy,MACD bullish crossover (above SMA20),188.51,191.26,loss,loss,-1.72,-10.58,,
2026-02-11,NVDA,macd,buy,MACD bullish crossover (above SMA20),190.04,193.02,loss,loss,-5.02,-9.53,,
2026-02-25,NVDA,rel_strength,buy,"New 20-day high (+1.6% above prev, 1.4x vol)",195.55,194.26,loss,loss,-7.13,-10.1,,
2026-04-24,NVDA,rel_strength,buy,"New 20-day high (+3.5% above prev, 1.4x vol)",208.27,209.65,win,win,7.47,-7.11,11,14
2026-04-30,NVDA,adjusted_drop,buy,"Market-adjusted drop -5.62% (stock -4.63%, market +0.99%)",199.57,201.28,win,win,9.06,-3.25,5,7
2026-05-08,NVDA,macd,buy,MACD bullish crossover (above SMA20),215.2,214.04,win,win,4.82,-2.46,3,4
2026-01-26,INTC,adjusted_drop,buy,"Market-adjusted drop -6.23% (stock -5.72%, market +0.51%)",42.49,43.97,win,win,5.03,-1.98,2,2
2026-01-26,INTC,sector_drop,buy,"Sector-adjusted drop -6.41% (stock -5.72%, XLK +0.68%)",42.49,43.97,win,win,5.03,-1.98,2,2
2026-01-26,INTC,confluence,buy,"Confluence (2): adjusted_drop, sector_drop",42.49,43.97,win,win,5.03,-1.98,2,2
2026-01-28,INTC,gap_and_go,buy,Gap up +6.1% on 1.5x volume,48.78,47.56,win,loss,-6.18,-7.65,4,
2026-02-09,INTC,macd,buy,MACD bullish crossover (above SMA20),50.24,50.41,loss,loss,-14.5,-16.41,,
2026-02-10,INTC,adjusted_drop,buy,"Market-adjusted drop -5.93% (stock -6.19%, market -0.26%)",47.13,48.11,loss,loss,-5.26,-12.41,,
2026-02-10,INTC,sector_drop,buy,"Sector-adjusted drop -5.63% (stock -6.19%, XLK -0.56%)",47.13,48.11,loss,loss,-5.26,-12.41,,
2026-02-10,INTC,confluence,buy,"Confluence (2): adjusted_drop, sector_drop",47.13,48.11,loss,loss,-5.26,-12.41,,
2026-03-11,INTC,macd,buy,MACD bullish crossover (above SMA20),47.98,47.4,loss,loss,1.33,-14.28,,
2026-03-25,INTC,macd,buy,MACD bullish crossover (above SMA20),47.18,46.3,win,win,47.95,-12.25,5,7
2026-04-02,INTC,rel_strength,buy,"New 20-day high (+2.7% above prev, 1.3x vol)",50.38,50.88,win,win,62.22,-1.99,3,3
2026-04-08,INTC,gap_and_go,buy,Gap up +4.6% on 2.0x volume,58.95,58.4,win,win,62.24,-0.02,1,3
2026-04-24,INTC,gap_and_go,buy,Gap up +23.1% on 2.6x volume,82.54,83.67,win,win,30.0,-3.43,3,3
2026-04-24,INTC,rel_strength,buy,"New 20-day high (+21.2% above prev, 2.6x vol)",82.54,83.67,win,win,30.0,-3.43,3,3
2026-04-24,INTC,confluence,buy,"Confluence (2): gap_and_go, rel_strength",82.54,83.67,win,win,30.0,-3.43,3,3
2026-05-05,INTC,rel_strength,buy,"New 20-day high (+10.0% above prev, 1.4x vol)",108.15,110.98,win,win,9.72,-7.73,3,3
2026-01-26,PLUG,adjusted_drop,buy,"Market-adjusted drop -8.51% (stock -8.00%, market +0.51%)",2.3,2.31,win,win,-21.21,-22.08,1,2
2026-01-26,PLUG,sector_drop,buy,"Sector-adjusted drop -8.73% (stock -8.00%, XLU +0.73%)",2.3,2.31,win,win,-21.21,-22.08,1,2
2026-01-26,PLUG,confluence,buy,"Confluence (2): adjusted_drop, sector_drop",2.3,2.31,win,win,-21.21,-22.08,1,2
2026-02-05,PLUG,adjusted_drop,buy,"Market-adjusted drop -8.02% (stock -9.27%, market -1.25%)",1.86,1.94,win,win,-7.73,-9.28,1,3
2026-02-05,PLUG,sector_drop,buy,"Sector-adjusted drop -9.31% (stock -9.27%, XLU +0.05%)",1.86,1.94,win,win,-7.73,-9.28,1,3
2026-02-05,PLUG,confluence,buy,"Confluence (2): adjusted_drop, sector_drop",1.86,1.94,win,win,-7.73,-9.28,1,3
2026-03-03,PLUG,macd,buy,MACD bullish crossover (above SMA20),2.23,2.25,win,win,1.78,-10.67,1,1
2026-03-03,PLUG,gap_and_go,buy,Gap up +14.9% on 2.4x volume,2.23,2.25,win,win,1.78,-10.67,1,1
2026-03-03,PLUG,rel_strength,buy,"New 20-day high (+6.8% above prev, 2.4x vol)",2.23,2.25,win,win,1.78,-10.67,1,1
2026-03-03,PLUG,confluence,buy,"Confluence (2): gap_and_go, rel_strength",2.23,2.25,win,win,1.78,-10.67,1,1
2026-03-05,PLUG,adjusted_drop,buy,"Market-adjusted drop -7.10% (stock -7.66%, market -0.56%)",2.29,2.25,win,loss,0.0,-10.67,9,
2026-03-05,PLUG,sector_drop,buy,"Sector-adjusted drop -6.88% (stock -7.66%, XLU -0.78%)",2.29,2.25,win,loss,0.0,-10.67,9,
2026-03-20,PLUG,adjusted_drop,buy,"Market-adjusted drop -5.65% (stock -7.08%, market -1.43%)",2.23,2.25,win,win,23.11,-6.22,3,10
2026-04-02,PLUG,macd,buy,MACD bullish crossover (above SMA20),2.41,2.47,win,win,27.13,-1.21,1,1
2026-04-06,PLUG,rel_strength,buy,"New 20-day high (+12.2% above prev, 1.5x vol)",2.69,2.65,win,win,16.23,-7.92,3,6
2026-04-07,PLUG,adjusted_drop,buy,"Market-adjusted drop -6.36% (stock -6.32%, market +0.04%)",2.52,2.7,win,win,12.22,-4.07,2,5
2026-04-07,PLUG,sector_drop,buy,"Sector-adjusted drop -6.54% (stock -6.32%, XLU +0.22%)",2.52,2.7,win,win,12.22,-4.07,2,5
2026-04-07,PLUG,confluence,buy,"Confluence (2): adjusted_drop, sector_drop",2.52,2.7,win,win,12.22,-4.07,2,5
2026-04-20,PLUG,rel_strength,buy,"New 20-day high (+7.3% above prev, 1.7x vol)",3.22,3.22,win,win,9.32,-8.39,7,15
2026-04-29,PLUG,gap_and_go,buy,Gap up +3.6% on 1.9x volume,3.41,3.42,win,win,-3.22,-11.11,8,9
2026-04-29,PLUG,rel_strength,buy,"New 20-day high (+1.8% above prev, 1.9x vol)",3.41,3.42,win,win,-3.22,-11.11,8,9
2026-04-29,PLUG,confluence,buy,"Confluence (2): gap_and_go, rel_strength",3.41,3.42,win,win,-3.22,-11.11,8,9
2026-04-30,PLUG,adjusted_drop,buy,"Market-adjusted drop -9.21% (stock -8.21%, market +0.99%)",3.13,3.15,win,win,20.0,-3.49,3,7
2026-04-30,PLUG,sector_drop,buy,"Sector-adjusted drop -10.77% (stock -8.21%, XLU +2.56%)",3.13,3.15,win,win,20.0,-3.49,3,7
2026-05-11,PLUG,rel_strength,buy,"New 20-day high (+5.8% above prev, 2.5x vol)",3.52,3.77,win,win,8.49,-14.85,2,11
2026-01-30,SOFI,gap_and_go,buy,Gap up +4.4% on 2.6x volume,22.81,22.51,loss,loss,-19.06,-21.9,,
2026-01-30,SOFI,adjusted_drop,buy,"Market-adjusted drop -6.06% (stock -6.36%, market -0.30%)",22.81,22.51,loss,loss,-19.06,-21.9,,
2026-01-30,SOFI,sector_drop,buy,"Sector-adjusted drop -6.16% (stock -6.36%, XLF -0.21%)",22.81,22.51,loss,loss,-19.06,-21.9,,
2026-01-30,SOFI,confluence,buy,"Confluence (3): gap_and_go, adjusted_drop, sector_drop",22.81,22.51,loss,loss,-19.06,-21.9,,
2026-04-29,SOFI,adjusted_drop,buy,"Market-adjusted drop -15.43% (stock -15.44%, market -0.02%)",15.52,15.77,win,loss,-0.51,-5.39,2,
2026-04-29,SOFI,sector_drop,buy,"Sector-adjusted drop -15.58% (stock -15.44%, XLF +0.14%)",15.52,15.77,win,loss,-0.51,-5.39,2,
2026-04-29,SOFI,confluence,buy,"Confluence (2): adjusted_drop, sector_drop",15.52,15.77,win,loss,-0.51,-5.39,2,
2026-01-27,AAL,adjusted_drop,buy,"Market-adjusted drop -7.40% (stock -7.00%, market +0.40%)",13.55,13.65,win,win,3.3,-3.52,5,8
2026-01-27,AAL,sector_drop,buy,"Sector-adjusted drop -7.30% (stock -7.00%, XLY +0.30%)",13.55,13.65,win,win,3.3,-3.52,5,8
2026-01-27,AAL,confluence,buy,"Confluence (2): adjusted_drop, sector_drop",13.55,13.65,win,win,3.3,-3.52,5,8
2026-02-06,AAL,macd,buy,MACD bullish crossover (above SMA20),15.24,15.3,loss,loss,-18.17,-20.85,,
2026-02-19,AAL,adjusted_drop,buy,"Market-adjusted drop -5.06% (stock -5.32%, market -0.26%)",13.35,13.35,win,loss,-20.97,-21.87,5,
2026-04-08,AAL,rel_strength,buy,"New 20-day high (+5.2% above prev, 1.4x vol)",11.41,11.32,win,win,-0.09,-3.62,4,5
2026-04-14,AAL,gap_and_go,buy,Gap up +7.4% on 1.6x volume,12.13,12.25,win,loss,0.98,-8.82,3,
2026-04-17,AAL,rel_strength,buy,"New 20-day high (+6.8% above prev, 1.4x vol)",12.78,12.38,win,loss,7.84,-9.77,13,
2026-05-04,AAL,macd,buy,MACD bullish crossover (above SMA20),11.81,11.95,win,win,24.27,-0.67,2,3
2026-02-11,TSLA,macd,buy,MACD bullish crossover (above SMA20),428.27,430.3,loss,loss,-5.75,-10.44,,
2026-02-25,TSLA,macd,buy,MACD bullish crossover (above SMA20),417.4,414.42,loss,loss,-5.22,-7.97,,
2026-04-17,TSLA,rel_strength,buy,"New 20-day high (+3.3% above prev, 1.3x vol)",400.62,402.58,win,loss,6.4,-9.58,15,
2026-01-30,F,macd,buy,MACD bullish crossover (above SMA20),13.56,13.54,loss,loss,-0.52,-2.45,,
2026-02-12,F,rel_strength,buy,"New 20-day high (+1.6% above prev, 2.0x vol)",13.68,13.71,win,loss,-12.46,-13.33,9,
2026-02-13,F,macd,buy,MACD bullish crossover (above SMA20),13.94,13.91,win,loss,-13.48,-16.25,8,
2026-02-24,F,macd,buy,MACD bullish crossover (above SMA20),14.02,14.07,loss,loss,-16.21,-18.32,,
2026-03-02,F,adjusted_drop,buy,"Market-adjusted drop -5.02% (stock -4.97%, market +0.06%)",13.22,12.91,loss,loss,-10.02,-13.01,,
2026-01-29,NU,rel_strength,buy,"New 20-day high (+1.0% above prev, 1.4x vol)",18.76,18.53,loss,loss,-5.4,-11.66,,
